lat,lon,corrected_best_combined_lcow_usd_m3,corrected_hydrogel_thickness_mm,corrected_vapor_gap_mm,corrected_fin_area_ratio,original_best_combined_lcow_usd_m3,original_design_corrected_lcow_usd_m3,regret_frac,design_changed
12.0,99.0,4.299108813824348,2.329850378139365,43.20622003454584,12.0,7.016409986520273,4.312689460928455,0.0031589447237150604,True
12.0,105.0,4.357544720380271,2.600588632534335,59.9999991571038,11.999999445794916,7.18595305252325,4.363142578789971,0.0012846359059768863,True
12.0,108.0,4.103129297623791,2.219811688915523,45.283326465655804,12.0,6.698995984813235,4.115679482462793,0.003058686170642982,True
15.0,-90.0,4.600845142514078,2.430608381500721,58.15829200155521,11.12974954750508,7.55839707740973,4.62128774784733,0.004443228298286392,True
15.0,-87.0,4.66908051453253,2.4345462261461983,60.0,12.0,7.65733841063516,4.6742410246572375,0.0011052519031628939,True
15.0,-84.0,4.210833498606914,2.2035769586147103,51.68558921418201,12.0,6.853816458032944,4.212750119004362,0.0004551641374758106,True
15.0,-15.0,6.434499483677981,2.8327839240715886,59.999999887440936,11.20818599062916,10.609717342162085,6.458500735758257,0.003730088430523384,True
15.0,-12.0,7.651576791351276,2.709299664480694,60.0,12.0,12.668883427737777,7.676745798140213,0.003289388249672346,True
15.0,-9.0,7.762836179802074,3.1449463782623504,59.999999202192924,11.999999989494752,12.89165271553239,7.7903735631342474,0.003547335367429564,True
15.0,-6.0,8.0596969058761,2.988588886138905,59.99999842038137,11.999999965968698,13.394153564645123,8.089468622085416,0.003693900224412948,True
15.0,-3.0,8.264259698942604,3.207843217643086,60.0,12.0,13.798357415421812,8.285164229502698,0.0025295103641005063,True
15.0,0.0,8.358831073228977,3.726480653542387,59.99999980409701,11.999999821164268,13.988843876404337,8.413210318596628,0.006505604060095468,True
15.0,3.0,8.088031255444493,3.142962673703614,59.999999977290855,11.999999996605839,13.523358688876085,8.124220514691455,0.00447442129042231,True
15.0,6.0,7.988275278737749,2.6397805046000453,59.99998954955768,11.9999999851891,13.183882438932015,8.020464063602605,0.004029503709083706,True
15.0,9.0,8.130767744362801,2.7023204247592654,59.999996669725526,11.999999954453399,13.448035316196018,8.16069369924589,0.0036805816896979685,True
15.0,12.0,8.390389171169286,2.904741519658443,59.99999997134922,11.563448929705102,13.950237593876537,8.42414191494863,0.004022786439432807,True
15.0,15.0,8.463905534025224,3.4503101117876787,59.999999860099436,11.999999980830642,14.125130012272022,8.52448888671285,0.007157848400372458,True
15.0,18.0,8.921578080207775,2.827899565938586,60.0,12.0,14.816070644728986,8.974991103291343,0.0059869478923311676,True
15.0,21.0,8.679735508960581,2.880487041690299,58.8234333748021,11.999999957592465,14.393492938442945,8.723973310340762,0.005096676198774901,True
15.0,24.0,8.4227216693817,2.6579994366262047,59.99999911156212,11.999999991889155,13.923628788652467,8.453902343745991,0.003701971356555634,True
15.0,27.0,8.580636923008685,2.733988611654602,59.99999995675844,11.999999975264117,14.191700775353734,8.61980345023013,0.004564524472119462,True
15.0,30.0,9.034115927636623,2.9413931936399953,59.99999817054355,11.999999920794075,15.0473651260633,9.083179749034544,0.005430948837819046,True
15.0,33.0,8.669333416911924,3.977267813650618,59.99999989207692,11.999999886930508,14.498897477842716,8.71546304749249,0.005321012396475318,True
15.0,36.0,6.050225199843496,2.978166671369427,59.99999987980362,11.99999996387743,10.094096376289162,6.086343766002632,0.0059697887212645994,True
15.0,39.0,4.8106167616746225,2.8269142658852733,60.0,12.0,7.986098279079627,4.824481532010633,0.0028821190759715383,True
