lat,lon,hydrogel_thickness_mm,vapor_gap_mm,fin_area_ratio,insulation_gap_mm,tilt_deg,salt,salt_loading,case,warmup_method,resolution,best_combined_lcow_usd_m3,n_evals,stopped_reason,wall_time_s,improvement_vs_baseline_frac,flagged_as_surrogate_artifact,max_neighbor_improvement_frac,cv_rmse,standardized_residual_mean,standardized_residual_std,msll_gp_minus_trivial,n_hyperparameter_warnings,n_de_calls,frac_de_hit_maxiter,frac_de_not_success
3.0,18.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.525989,33,stalled,476.4,0.12263524054631658,False,-0.003979,0.9044387728942294,0.3996630916024436,5.386133591594781,11.336240600575248,4,9,0.0,0.0
3.0,21.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.251886,33,stalled,496.4,0.07886765465692257,False,0.004909,1.1089616089834584,1.5326414168067386,11.884359641067865,68.70113075233009,3,9,0.0,0.0
3.0,24.0,2.3940809344866842,54.27568555035707,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.648835,42,stalled,902.7,0.07249940885827763,False,-0.001613,0.6917538953310414,0.6930056136222986,5.206987172349111,10.234750655853961,2,18,0.0,0.0
3.0,27.0,2.056291319081915,44.18054133131345,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.377184,33,stalled,514.4,0.08230228714784196,False,0.001810,1.5928740993054165,1.405444387129267,13.057731370059402,83.15662263384533,2,9,0.0,0.0
3.0,30.0,2.3721598847226586,59.999999598737055,11.999999989107048,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.840938,36,stalled,654.7,0.07283204009840244,False,-0.001515,0.07971485099677755,0.13489154784115093,1.2204358036973164,-4.400003148428986,4,12,0.0,0.0
3.0,33.0,2.5579790912489435,59.99999998201033,11.999999985870108,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.640250,36,stalled,673.7,0.05240775772575838,False,-0.000034,0.09798720334750056,0.18359548993276936,1.1635333035625726,-4.257682552724792,4,12,0.0,0.0
3.0,36.0,3.621649712683064,59.9999997712828,11.347981882073972,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,8.314225,36,stalled,675.9,0.020336753278089672,False,-0.000147,0.3295367863347931,0.7034686059083399,2.1478552832633526,-1.3310538931188631,4,12,0.0,0.0
3.0,39.0,3.156426345991767,59.99999989553483,11.999999993712173,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,9.209108,36,stalled,662.8,0.028919095367735233,False,-0.000206,0.1806290644859191,0.05912580835990204,1.2776100583513943,-3.445180888834821,4,12,0.0,0.0
3.0,42.0,2.832141913559975,59.99999953984628,11.999999989103774,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.650752,36,stalled,668.4,0.043576669875065276,False,-0.001638,0.12382429922347304,0.7019226649250968,2.5047232924452594,-1.4340287467660433,4,12,0.0,0.0
3.0,45.0,2.7550750666178154,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.685025,36,stalled,665.1,0.05446193757815141,False,-0.002730,0.09190430368239545,0.27462269178273396,1.2115485594022959,-4.021322575262067,4,12,0.0,0.0
3.0,99.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.264149,33,stalled,431.9,0.14276914118349718,False,0.004333,19.599021223678776,37.2274565169085,208.4147450390002,22407.82286142115,3,9,0.0,0.0
3.0,102.0,1.4463584590327083,59.06587341332302,9.970163871494666,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.209265,33,stalled,650.9,0.14977309221063934,False,0.005040,3.5387054301262366,3.59692497359633,19.363509036409365,191.14053974014695,4,9,0.0,0.0
3.0,114.0,1.4463584590327083,59.06587341332302,9.970163871494666,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.606671,33,stalled,687.2,0.17323401442936973,False,-0.000400,7.083434294271488,1.3315001868554093,15.543820930804312,119.2078687869178,4,9,0.0,0.0
3.0,117.0,1.4463584590327083,59.06587341332302,9.970163871494666,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.777171,33,stalled,251.2,0.16952807971325515,False,0.000682,1.6744616820684095,-2.6600931001576956e-06,3.0740563948073847,1.734034865564273,4,9,0.0,0.0
6.0,-75.0,1.89059726292427,49.43316718923775,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.754885,33,stalled,518.7,0.11961220031520985,False,-0.001463,0.8961269350919533,1.1082721662407222,9.481965270862057,42.259011345275674,3,9,0.0,0.0
6.0,-72.0,2.250473571808695,59.99999980049406,11.999999995837884,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.266561,33,stalled,536.7,0.09211978639210737,False,-0.003078,0.07332354268155104,0.08132655119289606,2.8803354792416753,-0.800488192762481,2,9,0.0,0.0
6.0,-69.0,2.303273714683015,44.817966429106235,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.079801,33,stalled,511.3,0.08272103743479267,False,-0.002114,2.1059674125316357,1.046692059480963,12.162618012626055,71.72464502477412,3,9,0.0,0.0
6.0,-66.0,2.1230040317088346,59.99999934394401,11.999999932849452,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.218804,33,stalled,526.8,0.08398857762968003,False,-0.000058,0.7029110587372431,0.45200902384294367,7.741926584895624,26.934708036967898,3,9,0.0,0.0
6.0,-63.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.615045,33,stalled,523.1,0.08309820123370242,False,0.002601,1.3606868975270814,0.3495716208698114,8.33567143507256,31.859112346450097,3,9,0.0,0.0
6.0,-60.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.073751,33,stalled,515.5,0.11044157670561637,False,-0.000552,2.001318594733269,1.3179146687345833,16.42246366331782,132.75844281606575,4,9,0.0,0.0
6.0,-9.0,1.4463584590327083,59.06587341332302,9.970163871494666,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.985827,33,stalled,416.0,0.16104717987673278,False,0.003830,6.64400308182962,3.8119463599040486,26.924514236890488,366.94056328819664,4,9,0.0,0.0
6.0,-6.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.882280,33,stalled,499.8,0.14859288455226558,False,0.005987,4.241412556648813,0.7772861016327947,9.205634645799236,40.07683108344835,4,9,0.0,0.0
