lat,lon,standard_best_combined_lcow_usd_m3,standard_hydrogel_thickness_mm,simplified_best_combined_lcow_usd_m3,simplified_hydrogel_thickness_mm,lcow_reduction_frac,optimal_design_changed
15.0,-9.0,7.762836179802074,3.1449463782623504,7.702845748551468,3.1449463782623504,0.007727901228508913,False
15.0,-6.0,8.0596969058761,2.988588886138905,7.999873848985323,2.988588886138905,0.0074224946160396975,False
15.0,-3.0,8.264259698942604,3.207843217643086,8.199394071378713,3.207843217643086,0.00784893383398771,False
15.0,0.0,8.358831073228977,3.726480653542387,8.285197805149048,3.726480653542387,0.00880903889968012,False
15.0,3.0,8.088031255444493,3.142962673703614,8.025558758829874,3.142962673703614,0.0077240671606660346,False
15.0,6.0,7.988275278737749,2.6397805046000453,7.934618176518446,2.6397805046000453,0.006716982120298445,False
15.0,9.0,8.130767744362801,2.7023204247592654,8.075104406073306,2.7023204247592654,0.006846012583262809,False
15.0,12.0,8.390389171169286,2.904741519658443,8.329508477272505,2.904741519658443,0.00725600358395493,False
15.0,15.0,8.463905534025224,3.4503101117876787,8.393604029098526,3.4503101117876787,0.00830603610166532,False
15.0,18.0,8.921578080207775,2.827899565938586,8.858219518158895,2.827899565938586,0.007101721408395038,False
15.0,21.0,8.679735508960581,2.880487041690299,8.617176464105054,2.880487041690299,0.007207482853704967,False
15.0,24.0,8.4227216693817,2.6579994366262047,8.365828813621665,2.6579994366262047,0.006754687854265901,False
15.0,27.0,8.580636923008685,2.733988611654602,8.521336832090329,2.733988611654602,0.006910919486564534,False
15.0,30.0,9.034115927636623,2.9413931936399953,8.961115515310272,3.596252620297993,0.008080526408016613,True
15.0,33.0,8.669333416911924,3.977267813650618,8.58913913048808,3.977267813650618,0.009250340547221583,False
15.0,36.0,6.050225199843496,2.978166671369427,6.00505090935054,3.3530123262221188,0.007466546946735774,True
15.0,39.0,4.8106167616746225,2.8269142658852733,4.7740816856039325,3.2782975673619745,0.007594676084313925,True
15.0,45.0,6.372979055293067,3.21830366656828,6.322830317969312,3.21830366656828,0.007868963147164915,False
15.0,48.0,4.962100706885269,3.7404593068662733,4.918265425862759,3.7404593068662733,0.00883401680294098,False
15.0,75.0,4.595338812273287,2.4102193285125844,4.566693898375707,2.4102193285125844,0.006233471582350912,False
15.0,78.0,5.0878405152684225,2.6842901234931977,5.0531977700899375,2.6842901234931977,0.006808929068142638,False
15.0,99.0,4.764257251017312,2.4968482062331714,4.733681272529988,2.4968482062331714,0.006417784950801086,False
15.0,102.0,4.489216228009349,2.73326069403426,4.458198299243116,2.73326069403426,0.006909430776068314,False
15.0,105.0,4.545015554327858,2.655958553772591,4.514334568354056,2.655958553772591,0.0067504688613411815,False
15.0,108.0,5.598853308647122,2.1197774161123757,5.567508036849391,2.1197774161123757,0.005598516351432156,False
18.0,-102.0,4.023857559214054,2.6557898600941066,3.9966960375171285,2.6557898600941066,0.006750120076872423,False
18.0,-99.0,4.578517392261998,3.0364629826751064,4.544102055090669,3.0364629826751064,0.007516699014727649,False
18.0,-96.0,4.2317795545836665,2.2035769586147103,4.207300985103603,2.2035769586147103,0.005784462343637272,False
18.0,-93.0,4.205520931820702,2.639211455806078,4.177277482291461,2.639211455806078,0.00671580286654612,False
18.0,-90.0,4.164708185602689,2.639211455806078,4.13673882643149,2.639211455806078,0.006715802866546243,False
18.0,-66.0,3.925110777594987,2.3415727014146843,3.9012233819886593,2.3415727014146843,0.006085788901215245,False
18.0,-15.0,7.0317337259859745,2.93511983416222,6.980285720841283,2.93511983416222,0.007316546267183571,False
18.0,-12.0,9.89207820611087,3.3262896371790203,9.812208692958668,3.3262896371790203,0.008074088324823628,False
18.0,-9.0,9.65107001995792,3.3872114317308473,9.57204216726612,3.3872114317308473,0.008188506821354961,False
18.0,-6.0,9.336141708832754,3.298279322215179,9.261254955414858,3.298279322215179,0.008021167175199077,False
18.0,-3.0,10.38355494038182,3.157874744244783,10.30305265460805,3.157874744244783,0.007752863661432108,False
18.0,0.0,11.063298089100416,3.2583841867515524,10.9753952447419,3.2583841867515524,0.007945446615518506,False
18.0,3.0,10.479011675712522,3.0412193318953986,10.400146375515485,3.0412193318953986,0.007526024651716494,False
18.0,6.0,10.908744429142239,3.18229623931832,10.823657334712237,3.18229623931832,0.007799898052675502,False
18.0,9.0,10.421070601747658,3.608868515404519,10.331480011550427,3.608868515404519,0.008597062012247206,False
18.0,12.0,9.52761622657977,2.9428091399138743,9.457761358735857,2.9428091399138743,0.0073318305631407685,False
18.0,15.0,9.429585897962584,3.04880143332377,9.35847853994792,3.04880143332377,0.007540878123823923,False
18.0,18.0,9.731146542707515,4.028985845526374,9.640261686172966,4.028985845526374,0.009339583587162996,False
18.0,21.0,9.333537769286039,2.8940265596303325,9.26601346418749,2.8940265596303325,0.007234588509488068,False
18.0,24.0,9.164354040734842,3.238729005918145,9.091882407836833,3.238729005918145,0.00790799139534319,False
18.0,27.0,9.522893638955999,3.006568687726107,9.451872403662971,3.006568687726107,0.007457946920933356,False
18.0,30.0,10.30965615638728,3.0556996784025277,10.231773111155682,3.0556996784025277,0.007554378540873646,False
18.0,33.0,9.143237665609727,3.079159844148361,9.073747259112396,3.079159844148361,0.007600196892912772,False
18.0,36.0,5.8350894003573694,2.934751376573418,5.7924009747532885,2.934751376573418,0.007315813464908777,False
18.0,42.0,4.941940296010167,3.4724953478218445,4.900689303467799,3.4724953478218445,0.008347124827807351,False
18.0,45.0,8.29870343475888,2.923467787954006,8.238178051089902,2.923467787954006,0.007293354214282296,False
18.0,48.0,8.830150038890022,2.70573670408763,8.766180398853633,3.046842139862657,0.007244456748147134,True
18.0,51.0,6.375022938003231,4.150260083025964,6.3141634649523555,4.150260083025964,0.00954654965836685,False
18.0,54.0,5.157385159554015,4.060640262267204,5.108937125047939,4.060640262267204,0.009393914359164396,False
18.0,75.0,5.454667447881449,2.6581128780409116,5.417821592938449,2.6581128780409116,0.006754922329373363,False
