water_price_usd_per_m3,hydrogel_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
4.428571428571429,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-10599.125335708319,inf,inf
6.142857142857142,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-9410.550788658513,inf,inf
7.857142857142857,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-8221.976241608707,173.55178771731946,inf
9.571428571428571,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-7033.401694558901,50.883230780537716,inf
11.285714285714285,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-5844.827147509095,29.811847248733514,inf
13.0,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-4656.252600459289,21.08166540879168,inf
14.714285714285714,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-3467.6780534094823,16.306442701027162,inf
16.428571428571427,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-2279.1035063596773,13.294986136037522,inf
18.142857142857142,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,-1090.5289593098687,11.222438146761672,29.63545127907898
19.857142857142858,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,98.04558773993813,9.708920010007954,19.481285700607287
21.57142857142857,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,1286.6201347897422,8.555129419311761,14.985666506482948
23.285714285714285,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,2475.194681839548,7.646440217414931,12.292144425688296
25.0,1.25,21.497021836022054,0.0016638301493752347,10.0,19.71573132252169,3663.769228889356,6.91225056980868,10.461813311369612
1.0,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-12969.367917611879,inf,inf
2.7142857142857144,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-11780.793370562074,inf,inf
4.428571428571429,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-10592.218823512267,inf,inf
6.142857142857142,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-9403.64427646246,inf,inf
7.857142857142857,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-8215.069729412655,171.1541782724899,inf
9.571428571428571,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-7026.495182362848,50.67510247063326,inf
11.285714285714285,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-5837.920635313043,29.740283047503134,inf
13.0,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-4649.346088263236,21.045853019832897,inf
14.714285714285714,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-3460.7715412134294,16.285008413144126,inf
16.428571428571427,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-2272.1969941636253,13.280734267120888,inf
18.142857142857142,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,-1083.6224471138166,11.212281670372853,29.532562127106633
19.857142857142858,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,104.95209993599019,9.701317386580998,19.44594058187247
21.57142857142857,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,1293.5266469857943,8.549225842515963,14.966235881929034
23.285714285714285,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,2482.101194035602,7.641723797360952,12.279524109567815
25.0,1.3571428571428572,21.497021836022054,0.0016638301493752347,10.0,19.705770032990063,3670.675741085408,6.9083961541223236,10.452853457051877
1.0,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-12963.472114517688,inf,inf
2.7142857142857144,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-11774.897567467882,inf,inf
4.428571428571429,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-10586.323020418076,inf,inf
6.142857142857142,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-9397.74847336827,inf,inf
7.857142857142857,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-8209.173926318465,169.15924090894472,inf
9.571428571428571,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-7020.599379268657,50.498774380163226,inf
11.285714285714285,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-5832.024832218852,29.679462942365518,inf
13.0,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-4643.450285169045,21.015377595474884,inf
14.714285714285714,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-3454.875738119238,16.266755383707743,inf
16.428571428571427,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-2266.301191069434,13.268592190633024,inf
18.142857142857142,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,-1077.7266440196254,11.2036260413435,29.445515629730178
19.857142857142858,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,110.84790303018053,9.6948367563125,19.415887409720675
21.57142857142857,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,1299.4224500799864,8.54419264640041,14.949692883812943
23.285714285714285,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,2487.9969971297924,7.6377021861063055,12.268772654053707
25.0,1.4642857142857142,21.497021836022054,0.0016638301493752347,10.0,19.697266493145996,3676.5715441795983,6.90510919868845,10.445217580993974
1.0,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-12958.380284572704,inf,inf
2.7142857142857144,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-11769.805737522898,inf,inf
4.428571428571429,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-10581.231190473092,inf,inf
6.142857142857142,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-9392.656643423286,inf,inf
7.857142857142857,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-8204.08209637348,167.47339259120702,inf
9.571428571428571,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-7015.507549323674,50.347475578293555,inf
11.285714285714285,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-5826.933002273869,29.627136324499673,inf
13.0,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-4638.358455224062,20.989128849351275,inf
14.714285714285714,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-3449.783908174255,16.251024300552565,inf
16.428571428571427,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-2261.20936112445,13.258123704928348,inf
18.142857142857142,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,-1072.6348140746413,11.196161472825526,29.370912658613037
19.857142857142858,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,115.93973297516459,9.689246812138926,19.390020411161217
21.57142857142857,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,1304.5142800249687,8.5398505620681,14.935438319620136
23.285714285714285,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,2493.0888270747764,7.634232381280336,12.259503552433802
25.0,1.5714285714285714,21.497021836022054,0.0016638301493752347,10.0,19.689922526917027,3681.6633741245823,6.902272980527953,10.438632410410616
1.0,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-12953.938475471761,inf,inf
2.7142857142857144,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-11765.363928421955,inf,inf
4.428571428571429,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-10576.78938137215,inf,inf
6.142857142857142,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-9388.214834322343,inf,inf
7.857142857142857,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-8199.640287272538,166.02996420321657,inf
9.571428571428571,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-7011.065740222731,50.21622997773711,inf
11.285714285714285,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-5822.491193172926,29.581640150572586,inf
13.0,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-4633.916646123119,20.966284497628994,inf
14.714285714285714,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-3445.342099073313,16.237326267588198,inf
16.428571428571427,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-2256.767552023509,13.249005102430166,inf
18.142857142857142,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,-1068.1930049736993,11.189657946326433,29.30626195030939
19.857142857142858,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,120.38154207610751,9.68437573956934,19.367521841647015
21.57142857142857,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,1308.9560891259116,8.536066388872408,14.923028053882007
23.285714285714285,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,2497.5306361757175,7.631208103891923,12.251430005149643
25.0,1.6785714285714286,21.497021836022054,0.0016638301493752347,10.0,19.683516088291757,3686.1051832255234,6.899800734829758,10.432895037294083
1.0,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-12950.029683462932,inf,inf
2.7142857142857144,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-11761.455136413126,inf,inf
4.428571428571429,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-10572.88058936332,inf,inf
6.142857142857142,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-9384.306042313514,inf,inf
7.857142857142857,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-8195.731495263708,164.7801741786253,inf
9.571428571428571,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-7007.156948213901,50.101298574499985,inf
11.285714285714285,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-5818.582401164096,29.541718946297653,inf
13.0,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-4630.007854114288,20.946222563022406,inf
14.714285714285714,1.7857142857142856,21.497021836022054,0.0016638301493752347,10.0,19.677878422301514,-3441.4333070644825,16.22529108630481,inf
