water_price_usd_per_m3,t_wh_in_c,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
9.571428571428571,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-13028.179714093203,inf,inf
11.285714285714285,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12909.379626311482,inf,inf
13.0,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12790.579538529759,inf,inf
14.714285714285714,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12671.779450748038,inf,inf
16.428571428571427,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12552.979362966315,inf,inf
18.142857142857142,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12434.179275184593,inf,inf
19.857142857142858,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12315.37918740287,inf,inf
21.57142857142857,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12196.579099621147,inf,inf
23.285714285714285,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-12077.779011839426,inf,inf
25.0,53.42857142857143,10.743323115508392,0.0010439344630522361,2.0,197.56811090603807,-11958.978924057703,inf,inf
1.0,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-13525.02819319371,inf,inf
2.7142857142857144,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-13239.68188859809,inf,inf
4.428571428571429,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-12954.33558400247,inf,inf
6.142857142857142,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-12668.989279406853,inf,inf
7.857142857142857,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-12383.642974811235,inf,inf
9.571428571428571,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-12098.296670215615,inf,inf
11.285714285714285,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-11812.950365619998,inf,inf
13.0,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-11527.604061024378,inf,inf
14.714285714285714,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-11242.25775642876,inf,inf
16.428571428571427,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-10956.91145183314,inf,inf
18.142857142857142,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-10671.565147237523,inf,inf
19.857142857142858,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-10386.218842641903,inf,inf
21.57142857142857,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-10100.872538046286,inf,inf
23.285714285714285,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-9815.526233450666,inf,inf
25.0,54.57142857142857,17.20294772688238,0.0010589676441998487,3.0,82.25481999325501,-9530.179928855048,inf,inf
1.0,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-13551.289942494808,inf,inf
2.7142857142857144,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-13310.96377955822,inf,inf
4.428571428571429,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-13070.637616621632,inf,inf
6.142857142857142,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-12830.311453685043,inf,inf
7.857142857142857,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-12589.985290748453,inf,inf
9.571428571428571,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-12349.659127811865,inf,inf
11.285714285714285,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-12109.332964875275,inf,inf
13.0,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-11869.006801938687,inf,inf
14.714285714285714,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-11628.680639002097,inf,inf
16.428571428571427,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-11388.35447606551,inf,inf
18.142857142857142,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-11148.02831312892,inf,inf
19.857142857142858,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-10907.70215019233,inf,inf
21.57142857142857,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-10667.375987255742,inf,inf
23.285714285714285,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-10427.049824319152,inf,inf
25.0,55.714285714285715,14.488775049178743,0.001118402251399416,3.0,97.66356119209817,-10186.723661382563,inf,inf
1.0,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-13316.218149623946,inf,inf
2.7142857142857144,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-12672.91177033731,inf,inf
4.428571428571429,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-12029.605391050673,inf,inf
6.142857142857142,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-11386.299011764035,inf,inf
7.857142857142857,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-10742.992632477399,inf,inf
9.571428571428571,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-10099.686253190759,inf,inf
11.285714285714285,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-9456.379873904123,inf,inf
13.0,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-8813.073494617485,inf,inf
14.714285714285714,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-8169.767115330847,156.93322442912003,inf
16.428571428571427,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-7526.4607360442105,71.99186198623002,inf
18.142857142857142,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-6883.154356757573,46.70980602081048,inf
19.857142857142858,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-6239.847977470934,34.56965627852291,inf
21.57142857142857,56.857142857142854,19.391815904049242,0.0013727390535881645,6.0,36.48511763084576,-5596.541598184298,27.438286368065974,inf
