sweep_param,param_value,param_label,daily_yield_kg_m2,thermal_efficiency,specific_energy_wh_kwh_per_l,specific_energy_parasitic_kwh_per_l,specific_energy_total_kwh_per_l,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
hydrogel_lifetime_years,2.0,Hydrogel lifetime (yr),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.668415197246475,-10170.1278870938,inf,inf
utilization_factor,0.7,Utilization factor,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,25.389354093478072,-10995.176833585574,inf,inf
utilization_factor,0.7749999999999999,Utilization factor,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,22.932319826367294,-10706.28718673319,inf,inf
utilization_factor,0.85,Utilization factor,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,20.908879841687824,-10417.397539880807,inf,inf
utilization_factor,0.9,Utilization factor,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
utilization_factor,0.925,Utilization factor,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.21356525992935,-10128.507893028423,inf,inf
utilization_factor,1.0,Utilization factor,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,17.77254786543465,-9839.61824617604,inf,inf
water_price_usd_per_m3,1.0,Water price (USD/m³),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-12998.1450517621,inf,inf
water_price_usd_per_m3,5.0,Water price (USD/m³),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
water_price_usd_per_m3,7.0,Water price (USD/m³),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-8838.134137087778,inf,inf
water_price_usd_per_m3,13.0,Water price (USD/m³),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-4678.1232224134565,21.195879728356715,inf
water_price_usd_per_m3,19.0,Water price (USD/m³),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-518.112307739133,10.438736977780893,23.419768043630977
water_price_usd_per_m3,25.0,Water price (USD/m³),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,3641.8986069351868,6.924484644383018,10.490293255479605
