lat,lon,elev_m
42.0,-102.0,1173.0
42.0,-99.0,688.0
42.0,-96.0,316.0
42.0,-93.0,314.0
42.0,-90.0,209.0
42.0,-87.0,174.0
42.0,-84.0,262.0
42.0,-81.0,170.0
42.0,-78.0,656.0
42.0,-75.0,594.0
42.0,-72.0,175.0
42.0,-9.0,0.0
42.0,-6.0,754.0
42.0,-3.0,1294.0
42.0,0.0,363.0
42.0,3.0,109.0
42.0,9.0,949.0
42.0,12.0,5.0
42.0,15.0,3.0
42.0,21.0,441.0
42.0,24.0,934.0
42.0,27.0,342.0
42.0,42.0,60.0
42.0,45.0,1045.0
42.0,48.0,745.0
42.0,54.0,186.0
42.0,57.0,76.0
42.0,60.0,83.0
42.0,63.0,90.0
42.0,66.0,209.0
42.0,69.0,432.0
42.0,72.0,3293.0
42.0,75.0,2274.0
42.0,78.0,3896.0
42.0,81.0,4432.0
42.0,84.0,1345.0
42.0,87.0,1045.0
42.0,90.0,802.0
42.0,93.0,824.0
42.0,96.0,2208.0
42.0,99.0,1422.0
42.0,102.0,1003.0
42.0,105.0,1170.0
42.0,108.0,1302.0
42.0,111.0,1276.0
42.0,114.0,1497.0
42.0,117.0,1425.0
42.0,120.0,866.0
42.0,123.0,31.0
42.0,126.0,530.0
42.0,129.0,1172.0
42.0,141.0,0.0
45.0,-123.0,50.0
45.0,-120.0,1375.0
45.0,-117.0,1583.0
45.0,-114.0,2088.0
45.0,-111.0,2389.0
45.0,-108.0,1675.0
45.0,-105.0,1211.0
45.0,-102.0,759.0
45.0,-99.0,444.0
45.0,-96.0,317.0
45.0,-93.0,311.0
45.0,-90.0,420.0
45.0,-87.0,174.0
45.0,-84.0,262.0
45.0,-81.0,174.0
45.0,-78.0,355.0
45.0,-75.0,90.0
45.0,-72.0,415.0
45.0,-69.0,105.0
45.0,-63.0,111.0
45.0,0.0,37.0
45.0,3.0,1014.0
45.0,6.0,2444.0
45.0,9.0,87.0
45.0,12.0,0.0
45.0,15.0,861.0
45.0,18.0,111.0
45.0,21.0,156.0
45.0,24.0,425.0
45.0,27.0,59.0
45.0,39.0,21.0
45.0,42.0,505.0
45.0,45.0,46.0
45.0,54.0,-28.0
45.0,57.0,137.0
45.0,60.0,30.0
45.0,63.0,90.0
45.0,66.0,127.0
45.0,69.0,216.0
45.0,72.0,306.0
45.0,75.0,361.0
45.0,78.0,469.0
45.0,81.0,1379.0
45.0,84.0,257.0
45.0,87.0,446.0
45.0,90.0,1012.0
45.0,93.0,1660.0
45.0,96.0,1267.0
45.0,99.0,1963.0
45.0,102.0,1338.0
45.0,105.0,1362.0
45.0,108.0,1082.0
45.0,111.0,1024.0
45.0,114.0,1473.0
45.0,117.0,1069.0
45.0,120.0,1018.0
45.0,123.0,147.0
45.0,126.0,201.0
45.0,129.0,936.0
45.0,132.0,83.0
45.0,135.0,497.0
48.0,-120.0,1248.0
48.0,-117.0,713.0
48.0,-114.0,1158.0
48.0,-111.0,1076.0
48.0,-108.0,759.0
48.0,-105.0,676.0
48.0,-102.0,628.0
48.0,-99.0,440.0
48.0,-96.0,352.0
48.0,-93.0,408.0
48.0,-90.0,425.0
48.0,-87.0,181.0
