lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-12.0,39.0,3.25,5.246369896790776,3.25,5.204768902602978,0.007929481719016055,False
-9.0,-78.0,3.25,4.975342592673453,3.25,4.935890704539006,0.007929481719016149,False
-9.0,-75.0,1.0,5.110353113689793,1.0,5.0956550878814,0.002876127242365947,False
-9.0,-72.0,3.25,4.999838831229905,3.25,4.960192700619641,0.007929481719016074,False
-9.0,-69.0,3.25,5.016912811850199,3.25,4.977131293422735,0.007929481719016165,False
-9.0,-66.0,3.25,5.190211672478089,3.25,5.1490559839033505,0.007929481719015986,False
-9.0,-63.0,3.25,5.289048997341756,3.25,5.247109580006354,0.007929481719016114,False
-9.0,-60.0,3.25,5.086307339229114,3.25,5.0459755581653996,0.007929481719016019,False
-9.0,-57.0,3.25,5.38892828135259,3.25,5.346196873060515,0.007929481719016184,False
-9.0,-54.0,3.25,5.522935821531173,3.25,5.479141802899043,0.007929481719016102,False
-9.0,-51.0,3.25,5.366950065845927,3.25,5.3243929334119295,0.007929481719016094,False
-9.0,-48.0,3.25,5.714402087305255,3.25,5.66908984041886,0.007929481719016177,False
-9.0,-45.0,3.25,5.894365350650766,3.25,5.847626088357578,0.007929481719016189,False
-9.0,-42.0,3.25,6.286237758069156,3.25,6.236391150685157,0.007929481719016192,False
-9.0,-39.0,3.25,5.53547151712313,3.25,5.491578096921968,0.007929481719016156,False
-9.0,-36.0,3.25,4.9576919788703,3.25,4.918380050955335,0.007929481719016133,False
-9.0,15.0,3.25,5.358662726913584,3.25,5.31617130878215,0.007929481719016135,False
-9.0,18.0,3.25,6.316948767106184,3.25,6.266858637337454,0.007929481719016128,False
-9.0,21.0,3.25,6.276014815633071,3.25,6.226249270884234,0.007929481719016156,False
-9.0,24.0,3.25,6.29434723013739,3.25,6.244436318842876,0.007929481719016121,False
-9.0,27.0,3.25,6.033931630274452,3.25,5.986085679718398,0.007929481719016054,False
-9.0,30.0,3.25,6.607045695004425,3.25,6.554655246949183,0.007929481719016118,False
-9.0,33.0,3.25,5.4690559430888195,3.25,5.425689163967821,0.007929481719016003,False
-9.0,36.0,3.25,5.680934021731439,3.25,5.635887159259182,0.007929481719016165,False
-9.0,39.0,3.25,5.101802599352566,3.25,5.06134794890697,0.007929481719016218,False
-9.0,117.0,3.25,4.393343196607647,3.25,4.358506262044783,0.007929481719016045,False
-9.0,126.0,3.25,4.630903488033274,3.25,4.594182823482386,0.007929481719016147,False
-9.0,141.0,3.25,5.332313236748269,3.25,5.290030756417406,0.00792948171901615,False
-9.0,147.0,3.25,5.332765375785572,3.25,5.290479310226478,0.007929481719016149,False
-6.0,-81.0,3.25,4.516670040980663,3.25,4.480855188459879,0.007929481719016125,False
-6.0,-78.0,3.25,5.151794577617846,3.25,5.1109435166944985,0.007929481719016147,False
-6.0,-75.0,3.25,4.9963313381434,3.25,4.956713020135445,0.007929481719016035,False
-6.0,-72.0,3.25,4.985471565145333,3.25,4.945939359508839,0.007929481719015991,False
-6.0,-69.0,3.25,5.027397531383717,3.25,4.987532874564383,0.007929481719016071,False
-6.0,-66.0,3.25,5.030033233152985,3.25,4.990147676584655,0.007929481719016099,False
-6.0,-63.0,3.25,5.021306985848618,3.25,4.981490623898764,0.007929481719016043,False
-6.0,-60.0,3.25,5.100847047351022,3.25,5.060399973937554,0.007929481719016192,False
-6.0,-57.0,3.25,5.314183779559347,3.25,5.272045056427839,0.007929481719016154,False
-6.0,-54.0,3.25,5.360683273848697,3.25,5.318175833827279,0.007929481719015991,False
-6.0,-51.0,3.25,5.327163118287247,3.25,5.284921475726572,0.0079294817190161,False
-6.0,-48.0,3.25,5.728552591942846,3.25,5.6831281388886135,0.007929481719016071,False
-6.0,-45.0,3.25,5.7177569389875105,3.25,5.6724180898660315,0.007929481719016116,False
-6.0,-42.0,3.25,6.193068266340071,3.25,6.143960444737509,0.007929481719016083,False
-6.0,-39.0,3.25,5.202478730388154,3.25,5.161225770401971,0.00792948171901612,False
-6.0,-36.0,3.25,5.29177382214185,3.25,5.249812798358008,0.007929481719016173,False
-6.0,15.0,3.25,5.373626430567348,3.25,5.331016358021342,0.007929481719016088,False
-6.0,18.0,3.25,5.635167975302502,3.25,5.590484013858756,0.007929481719016068,False
-6.0,21.0,3.25,5.7059729296974275,3.25,5.66072752166219,0.007929481719016213,False
-6.0,24.0,3.25,5.91935835844298,3.25,5.872420914551401,0.007929481719016187,False
-6.0,27.0,3.25,6.153999727488878,3.25,6.105201699150925,0.00792948171901608,False
-6.0,30.0,3.25,5.474425653335308,3.25,5.4310162951950725,0.007929481719016133,False
-6.0,33.0,3.25,6.170291114261776,3.25,6.12136390367023,0.00792948171901605,False
-6.0,36.0,3.25,5.279281597321541,3.25,5.237419630406041,0.007929481719016161,False
-6.0,141.0,1.0,5.103666515109918,1.0,5.088987720809859,0.0028761272423659615,False
-6.0,144.0,1.0,4.850366079070063,1.0,4.836415809054602,0.002876127242365926,False
-6.0,147.0,3.25,5.312276079855776,3.25,5.2701524837941935,0.007929481719016017,False
-6.0,150.0,1.0,6.010399760980167,1.0,5.993113086490103,0.002876127242365834,False
-3.0,-78.0,3.25,6.14300429761893,3.25,6.094293457341123,0.007929481719016182,False
-3.0,-75.0,1.0,4.993989540879525,1.0,4.979626191512911,0.0028761272423659468,False
-3.0,-72.0,1.0,4.881124435703643,1.0,4.867085700740737,0.002876127242366051,False
-3.0,-69.0,1.0,4.782458293728753,1.0,4.768703335144681,0.002876127242365933,False
-3.0,-66.0,3.25,4.826125476801332,3.25,4.787856803059357,0.007929481719016225,False
-3.0,-63.0,3.25,4.800683286499487,3.25,4.762616356140403,0.007929481719016078,False
-3.0,-60.0,3.25,4.8815703058615245,3.25,4.842861983361104,0.007929481719016097,False
-3.0,-57.0,3.25,5.088701602996928,3.25,5.048350836662436,0.007929481719016081,False
-3.0,-54.0,3.25,5.1588908589127485,3.25,5.117983528156601,0.007929481719016043,False
-3.0,-51.0,3.25,5.09124306759294,3.25,5.050872148761394,0.007929481719016031,False
