lat,lon,mean_rh_frac,mean_t_amb_c,mean_solar_w_m2,salt,hydrogel_thickness_mm,eps_abs,tau_glass,eps_abs_ir,eps_glass_ir,fin_area_ratio,vapor_gap_mm,warmup_method,resolution,mean_yield_kg_m2,mean_eta_thermal,n_periods
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,3.0,30.0,aitken-gpu-fixed-round,monthly,0.485095,0.103512,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,3.0,40.0,aitken-gpu-fixed-round,monthly,0.494163,0.112452,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,3.0,50.0,aitken-gpu-fixed-round,monthly,0.510545,0.123448,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,3.0,60.0,aitken-gpu-fixed-round,monthly,0.510487,0.129247,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,5.275,20.0,aitken-gpu-fixed-round,monthly,0.290746,0.055633,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,5.275,30.0,aitken-gpu-fixed-round,monthly,0.473035,0.094138,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.505106,0.115039,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.519707,0.125179,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.521129,0.132379,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.316435,0.069666,12
