lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-15.0,126.0,3.25,4.491397313701226,3.25,4.455782860809395,0.007929481719015991,False
-15.0,129.0,3.25,4.63421456459169,3.25,4.597467644919762,0.007929481719016085,False
-15.0,132.0,3.25,4.825140195906295,3.25,4.786879334931166,0.007929481719016095,False
-15.0,135.0,3.25,4.167649169795537,3.25,4.13460187189237,0.007929481719016224,False
-15.0,144.0,3.25,4.569394767978109,3.25,4.533161835698458,0.007929481719016238,False
-12.0,-75.0,3.25,8.13831038581667,3.25,8.073777802388657,0.007929481719016238,False
-12.0,-72.0,3.25,7.670529810000078,3.25,7.609706484096514,0.007929481719016114,False
-12.0,-69.0,3.25,4.414427403409847,3.25,4.379423282014585,0.007929481719016002,False
-12.0,-66.0,3.25,4.484541567320338,3.25,4.448981476944104,0.007929481719016172,False
-12.0,-63.0,3.25,4.4610388703423345,3.25,4.425665144172134,0.007929481719016217,False
-12.0,-60.0,3.25,4.651820749610921,3.25,4.614934222016741,0.007929481719016166,False
-12.0,-57.0,3.25,4.700879001153058,3.25,4.663603467050108,0.007929481719016048,False
-12.0,-54.0,3.25,4.4999378651671815,3.25,4.46425569012863,0.007929481719016033,False
-12.0,-51.0,3.25,4.757688349203693,3.25,4.719962346413906,0.007929481719016236,False
-12.0,-48.0,3.25,5.204927056977796,3.25,5.163654683030678,0.00792948171901614,False
-12.0,-45.0,3.25,4.714862032751366,3.25,4.677475620454981,0.007929481719016127,False
-12.0,-42.0,3.25,4.750066183801233,3.25,4.712400620832665,0.007929481719016062,False
-12.0,-39.0,3.25,4.285536751397205,3.25,4.251554666070829,0.007929481719016184,False
-12.0,15.0,3.25,5.125624208689478,3.25,5.084980665228128,0.007929481719016163,False
-12.0,18.0,3.25,5.46661059288842,3.25,5.423263204127132,0.007929481719016146,False
-12.0,21.0,3.25,5.42350818822381,3.25,5.380502579192354,0.007929481719016215,False
-12.0,24.0,3.25,5.0267215878176135,3.25,4.98686229088043,0.00792948171901606,False
-12.0,27.0,3.25,5.015766738396755,3.25,4.975994307737788,0.007929481719016166,False
-12.0,30.0,3.25,5.030873762857402,3.25,4.990981541324146,0.007929481719016154,False
-12.0,33.0,3.25,5.215635853868509,3.25,5.174278564712214,0.007929481719016048,False
-12.0,36.0,3.25,4.984145655215362,3.25,4.944623963357418,0.007929481719016146,False
-12.0,39.0,3.25,4.343447257849255,3.25,4.309005972220629,0.007929481719015991,False
-9.0,-78.0,3.25,4.126337927213926,3.25,4.0936182060536,0.007929481719016048,False
-9.0,-75.0,3.25,4.253100036205764,3.25,4.219375157219523,0.007929481719016154,False
-9.0,-72.0,3.25,4.147463677121165,3.25,4.114576439713149,0.007929481719016102,False
-9.0,-69.0,3.25,4.156842033450466,3.25,4.123880430537382,0.007929481719016118,False
-9.0,-66.0,3.25,4.286918110132669,3.25,4.252925071347453,0.007929481719016213,False
-9.0,-63.0,3.25,4.356468633552475,3.25,4.321924095163253,0.007929481719016137,False
-9.0,-60.0,3.25,4.207218442630648,3.25,4.173857380901901,0.007929481719016016,False
-9.0,-57.0,3.25,4.441506189945259,3.25,4.406287347807191,0.00792948171901618,False
-9.0,-54.0,3.25,4.536084761138677,3.25,4.50011595994932,0.007929481719016194,False
-9.0,-51.0,3.25,4.416462064939427,3.25,4.381441809732761,0.007929481719016229,False
-9.0,-48.0,3.25,4.6273735179662125,3.25,4.590680844248441,0.007929481719015979,False
-9.0,-45.0,3.25,4.7382384090611,3.25,4.70066663421611,0.007929481719016064,False
-9.0,-42.0,3.25,5.031581525935378,3.25,4.991683692207735,0.007929481719016002,False
-9.0,-39.0,3.25,4.541888256561892,3.25,4.50587343666167,0.007929481719016258,False
-9.0,-36.0,3.25,4.127471626061485,3.25,4.094742915256873,0.007929481719016087,False
-9.0,15.0,3.25,4.458448609507804,3.25,4.42309542276354,0.007929481719015957,False
-9.0,18.0,3.25,5.145907502347299,3.25,5.105103122879688,0.007929481719016104,False
-9.0,21.0,3.25,5.079656050272784,3.25,5.039377010483257,0.007929481719016024,False
-9.0,24.0,3.25,5.106682367242195,3.25,5.066189022766326,0.007929481719016097,False
-9.0,27.0,3.25,4.909629483621952,3.25,4.870698666384429,0.00792948171901609,False
-9.0,30.0,3.25,5.35251949258541,3.25,5.310076787118276,0.007929481719016206,False
-9.0,33.0,3.25,4.5290187730517895,3.25,4.493106001485795,0.007929481719016083,False
-9.0,36.0,3.25,4.692915274076477,3.25,4.655702888201796,0.00792948171901611,False
