water_price_usd_per_m3,device_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
23.285714285714285,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,3581.5496281898813,7.661414031068038,12.332293163315255
25.0,26.0,21.497021836022054,0.0016638301493752347,10.0,18.59398987762433,4890.1941326144115,6.924484644383018,10.490293255479605
1.0,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-13485.441401445292,inf,inf
2.7142857142857144,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-12161.64191311888,inf,inf
4.428571428571429,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-10837.842424792463,inf,inf
6.142857142857142,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-9514.042936466049,inf,inf
7.857142857142857,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-8190.243448139635,181.60794875094538,inf
9.571428571428571,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-6866.443959813219,51.55373107723085,inf
11.285714285714285,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-5542.644471486806,30.04075681947439,inf
13.0,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-4218.84498316039,21.195879728356715,inf
14.714285714285714,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-2895.0454948339757,16.374691742416193,inf
16.428571428571427,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-1571.246006507563,13.340319538409775,inf
18.142857142857142,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,-247.4465181811447,11.254722061290046,29.968018380670944
19.857142857142858,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,1076.3529701452699,9.733073791493199,19.594220530394484
21.57142857142857,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,2400.1524584716826,8.573877986202955,15.04756761916531
23.285714285714285,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,3723.951946798097,7.661414031068038,12.332293163315255
25.0,27.0,21.497021836022054,0.0016638301493752347,10.0,18.463293911866966,5047.751435124512,6.924484644383018,10.490293255479605
1.0,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-13582.829897674625,inf,inf
2.7142857142857144,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-12232.00506082633,inf,inf
4.428571428571429,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-10881.180223978034,inf,inf
6.142857142857142,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-9530.355387129739,inf,inf
7.857142857142857,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-8179.5305502814435,181.60794875094538,inf
9.571428571428571,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-6828.705713433148,51.55373107723085,inf
11.285714285714285,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-5477.8808765848535,30.04075681947439,inf
13.0,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-4127.056039736558,21.195879728356715,inf
14.714285714285714,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-2776.2312028882625,16.374691742416193,inf
16.428571428571427,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-1425.4063660399688,13.340319538409775,inf
18.142857142857142,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,-74.5815291916715,11.254722061290046,29.968018380670944
19.857142857142858,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,1276.243307656625,9.733073791493199,19.594220530394484
21.57142857142857,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,2627.0681445049177,8.573877986202955,15.04756761916531
23.285714285714285,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,3977.8929813532122,7.661414031068038,12.332293163315255
25.0,29.0,21.497021836022054,0.0016638301493752347,10.0,18.237506016820102,5328.717818201509,6.924484644383018,10.490293255479605
1.0,30.0,21.497021836022054,0.0016638301493752347,10.0,18.13987540535469,-13626.183038802354,inf,inf
2.7142857142857144,30.0,21.497021836022054,0.0016638301493752347,10.0,18.13987540535469,-12263.3276871206,inf,inf
4.428571428571429,30.0,21.497021836022054,0.0016638301493752347,10.0,18.13987540535469,-10900.472335438846,inf,inf
6.142857142857142,30.0,21.497021836022054,0.0016638301493752347,10.0,18.13987540535469,-9537.616983757092,inf,inf
7.857142857142857,30.0,21.497021836022054,0.0016638301493752347,10.0,18.13987540535469,-8174.7616320753405,181.60794875094538,inf
